GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,AB4001,AB4002,AB4003,AB4004,AB4005,AB4006,AB4007,AB4008,AB4009,AB4010,AB4011,AB4012,AB4013,AB4014,AB4015,AB4016,AB4017,AB4018,AB4019,AB4020,AB4021,AB4022
"G1250215","1840","Florida Territory","125","Jefferson","0215","Jefferson","43","650",0,0,2015,0,0,125540,300,0,0,641,25263,0,0,0,5500,7300,1855715,0,0,46850,0,0
"G1250235","1840","Florida Territory","125","Leon","0235","Leon","43","730",27,30,5315,30,0,236951,3360,0,15,195,43585,390,0,0,3300,19400,5530644,40,0,29150,540,0
"G1250255","1840","Florida Territory","125","Madison","0255","Madison","43","790",0,0,2305,0,0,37985,50,0,0,117,13096,531,0,0,0,1150,702400,0,0,1200,0,0
"G1250275","1840","Florida Territory","125","Monroe","0275","Monroe","43","870",0,0,0,0,0,30,0,0,0,0,330,0,0,0,150,0,0,0,0,0,330,0
"G1250295","1840","Florida Territory","125","Mosquito","0295","Mosquito","43","950",,,,,,,,,,,,,,,,,,,,,,
"G1250315","1840","Florida Territory","125","Nassau","0315","Nassau","43","890",0,0,0,0,0,17400,1200,0,0,11,15989,0,0,0,0,315000,66425,0,0,0,400,0
"G1250355","1840","Florida Territory","125","St Johns","0355","St Johns","43","1090",0,0,0,0,0,3175,0,0,0,116,1010,0,0,0,0,0,0,16,0,25000,760,0
"G1250375","1840","Florida Territory","125","Walton","0375","Walton","43","1310",0,0,50,0,0,25048,575,0,0,0,6902,0,0,0,0,0,52122,0,0,0,0,0
"G1250395","1840","Florida Territory","125","Washington","0395","Washington","43","1330",0,0,75,11,0,24965,55,0,0,10,5355,0,0,0,0,2100,176120,0,0,4170,0,0
"G1300010","1840","Georgia","130","Appling","0010","Appling","44","10",2027,0,134,83,0,24245,1257,0,0,18,13410,0,0,0,97,0,5159,0,0,11415,1190,0
"G1300070","1840","Georgia","130","Baker","0070","Baker","44","70",1931,183,2718,294,0,92509,1348,0,190,56,5166,4800,0,0,310,523,815473,20,0,4260,10,0
"G1300090","1840","Georgia","130","Baldwin","0090","Baldwin","44","90",9779,263,12556,1195,0,210686,4633,21,125,133,9353,6,0,0,0,0,1561654,0,0,0,1534,130
"G1300210","1840","Georgia","130","Bibb","0210","Bibb","44","210",4560,275,5660,300,0,143145,2596,0,0,210,8160,0,0,0,0,0,1261000,0,0,0,1900,0
"G1300290","1840","Georgia","130","Bryan","0290","Bryan","44","290",,,,,,,,,,,,,,,,,,,,,,
"G1300310","1840","Georgia","130","Bulloch","0310","Bulloch","44","310",2974,0,1877,482,0,39509,1528,0,303,20,12396,12,0,0,0,3197,84853,9,0,1420,0,0
"G1300330","1840","Georgia","130","Burke","0330","Burke","44","330",7698,0,10877,800,3,508503,7658,47,354,562,34903,1870,0,0,0,665,6359303,0,0,0,1502,533
"G1300350","1840","Georgia","130","Butts","0350","Butts","44","350",34637,89,28813,562,0,224395,3352,0,441,123,5262,0,0,0,342,900,926659,0,0,0,65,0
"G1300390","1840","Georgia","130","Camden","0390","Camden","44","390",69,0,483,72,0,68565,1659,42,36,604,52971,0,0,0,0,1006440,2032740,120,0,20450,1133,0
"G1300395","1840","Georgia","130","Campbell","0395","Campbell","44","410",37201,136,18194,408,0,231475,4141,0,9,120,3744,144,0,0,7436,50,895737,0,0,0,0,1433
"G1300450","1840","Georgia","130","Carroll","0450","Carroll","44","450",24552,105,14439,770,0,366840,3277,2,0,510,6440,0,0,1000,14456,0,354089,0,0,0,87,1477
