RDD ANALYSIS RESULTS
Year: 1890
Analysis Date: 2025-06-10
Includes both linear (p1) and quadratic (p2) polynomial results
Clustered results use clustering by nearest border point
====================================================================================================

====================================================================================================
RDD Results: Basic Model (Year: 1890)
Includes both linear (p1) and quadratic (p2) polynomial results
Clustered results use clustering by nearest border point
====================================================================================================

Segment                                                 Coeff    Std Err    P-value     Obs Free    Obs Slave      BW Free     BW Slave
Border Point 16                                       -0.2564     0.4857     0.5975           13           12        45.98        45.98
Border Point 17                                       -1.7048     0.6365     0.0074           20           19        64.73        64.73
Border Point 18                                       -1.1331     0.6578     0.0850           10           25        60.45        60.45
Border Point 19                                       -2.9898     1.2070     0.0132           14           20        53.74        53.74
Border Point 20                                        0.3203     0.3644     0.3795           91           62       168.50       168.50
Overall                                               -0.1572     0.2327     0.4994          185          195        82.26        82.26
Robust: mserd triangular p1                           -0.1572     0.2327     0.4994          185          195        82.26        82.26
Robust: msetwo triangular p1                          -0.0400     0.2187     0.8548          181          391        79.34       157.80
Robust: msesum triangular p1                          -0.0958     0.2003     0.6323          214          223        93.52        93.52
Robust: cerrd triangular p1                           -0.2424     0.3836     0.5275          114          124        55.76        55.76
Robust: certwo triangular p1                          -0.0596     0.3729     0.8730          111          261        53.78       106.96
Robust: cersum triangular p1                          -0.2489     0.3305     0.4514          125          141        63.39        63.39
Robust: mserd uniform p1                              -0.2006     0.2869     0.4845          123          138        61.37        61.37
Robust: msetwo uniform p1                             -0.0596     0.2684     0.8242          114          280        56.16       115.83
Robust: msesum uniform p1                             -0.0576     0.2105     0.7842          156          173        72.85        72.85
Robust: cerrd uniform p1                              -0.4127     0.4791     0.3890           70           79        41.60        41.60
Robust: certwo uniform p1                             -0.3412     0.5516     0.5362           55          186        38.07        78.51
Robust: cersum uniform p1                             -0.0247     0.3659     0.9462           91          105        49.38        49.38
Robust: mserd epanechnikov p1                         -0.1630     0.2446     0.5053          167          183        76.28        76.28
Robust: msetwo epanechnikov p1                        -0.0445     0.1563     0.7760          247          349       104.19       142.96
Robust: msesum epanechnikov p1                        -0.1269     0.2128     0.5510          190          201        84.21        84.21
Robust: cerrd epanechnikov p1                         -0.2513     0.4195     0.5492           97          111        51.71        51.71
Robust: certwo epanechnikov p1                        -0.1100     0.2516     0.6619          152          232        70.62        96.90
Robust: cersum epanechnikov p1                        -0.2246     0.3531     0.5247          116          129        57.08        57.08
Robust: mserd triangular p2                            0.0404     0.1975     0.8380          443          494       199.15       199.15
Robust: msetwo triangular p2                           0.0382     0.1986     0.8474          417          583       188.92       238.59
Robust: msesum triangular p2                           0.0363     0.1976     0.8541          443          494       199.07       199.07
Robust: cerrd triangular p2                           -0.2157     0.3319     0.5157          300          309       127.69       127.69
Robust: certwo triangular p2                          -0.1502     0.3363     0.6551          285          380       121.14       152.98
Robust: cersum triangular p2                          -0.2179     0.3321     0.5118          300          309       127.64       127.64
Robust: mserd uniform p2                               0.0507     0.1982     0.7980          375          418       168.68       168.68
Robust: msetwo uniform p2                              0.0219     0.2100     0.9169          337          543       147.84       220.01
Robust: msesum uniform p2                             -0.0139     0.1667     0.9338          438          485       195.73       195.73
Robust: cerrd uniform p2                              -0.2882     0.3407     0.3976          256          263       108.16       108.16
Robust: certwo uniform p2                             -0.1916     0.3718     0.6064          215          343        94.79       141.07
Robust: cersum uniform p2                             -0.0190     0.2727     0.9443          294          305       125.50       125.50
Robust: mserd epanechnikov p2                          0.0740     0.1990     0.7099          418          470       189.10       189.10
Robust: msetwo epanechnikov p2                         0.0638     0.1994     0.7490          401          554       179.41       225.92
Robust: msesum epanechnikov p2                         0.0759     0.2007     0.7054          416          467       187.58       187.58
Robust: cerrd epanechnikov p2                         -0.2636     0.3387     0.4364          285          295       121.25       121.25
Robust: certwo epanechnikov p2                        -0.1614     0.3421     0.6370          268          352       115.04       144.86
Robust: cersum epanechnikov p2                        -0.2781     0.3434     0.4180          285          292       120.27       120.27
Robust Clustered: mserd triangular p1                  0.0000     0.0000     0.0000            0            0         0.00         0.00
Robust Clustered: msetwo triangular p1                 0.0000     0.0000     0.0000            0            0         0.00         0.00
Robust Clustered: msesum triangular p1                 0.0000     0.0000     0.0000            0            0         0.00         0.00
Robust Clustered: cerrd triangular p1                  0.0000     0.0000     0.0000            0            0         0.00         0.00
Robust Clustered: certwo triangular p1                 0.0000     0.0000     0.0000            0            0         0.00         0.00
Robust Clustered: cersum triangular p1                 0.0000     0.0000     0.0000            0            0         0.00         0.00
Robust Clustered: mserd uniform p1                     0.0000     0.0000     0.0000            0            0         0.00         0.00
Robust Clustered: msetwo uniform p1                    0.0000     0.0000     0.0000            0            0         0.00         0.00
Robust Clustered: msesum uniform p1                    0.0000     0.0000     0.0000            0            0         0.00         0.00
Robust Clustered: cerrd uniform p1                     0.0000     0.0000     0.0000            0            0         0.00         0.00
Robust Clustered: certwo uniform p1                    0.0000     0.0000     0.0000            0            0         0.00         0.00
Robust Clustered: cersum uniform p1                    0.0000     0.0000     0.0000            0            0         0.00         0.00
Robust Clustered: mserd epanechnikov p1                0.0000     0.0000     0.0000            0            0         0.00         0.00
Robust Clustered: msetwo epanechnikov p1               0.0000     0.0000     0.0000            0            0         0.00         0.00
Robust Clustered: msesum epanechnikov p1               0.0000     0.0000     0.0000            0            0         0.00         0.00
Robust Clustered: cerrd epanechnikov p1                0.0000     0.0000     0.0000            0            0         0.00         0.00
Robust Clustered: certwo epanechnikov p1               0.0000     0.0000     0.0000            0            0         0.00         0.00
Robust Clustered: cersum epanechnikov p1               0.0000     0.0000     0.0000            0            0         0.00         0.00
Robust Clustered: mserd triangular p2                  0.0000     0.0000     0.0000            0            0         0.00         0.00
Robust Clustered: msetwo triangular p2                 0.0000     0.0000     0.0000            0            0         0.00         0.00
Robust Clustered: msesum triangular p2                 0.0000     0.0000     0.0000            0            0         0.00         0.00
Robust Clustered: cerrd triangular p2                  0.0000     0.0000     0.0000            0            0         0.00         0.00
Robust Clustered: certwo triangular p2                 0.0000     0.0000     0.0000            0            0         0.00         0.00
Robust Clustered: cersum triangular p2                 0.0000     0.0000     0.0000            0            0         0.00         0.00
Robust Clustered: mserd uniform p2                     0.0000     0.0000     0.0000            0            0         0.00         0.00
Robust Clustered: msetwo uniform p2                    0.0000     0.0000     0.0000            0            0         0.00         0.00
Robust Clustered: msesum uniform p2                    0.0000     0.0000     0.0000            0            0         0.00         0.00
Robust Clustered: cerrd uniform p2                     0.0000     0.0000     0.0000            0            0         0.00         0.00
Robust Clustered: certwo uniform p2                    0.0000     0.0000     0.0000            0            0         0.00         0.00
Robust Clustered: cersum uniform p2                    0.0000     0.0000     0.0000            0            0         0.00         0.00
Robust Clustered: mserd epanechnikov p2                0.0000     0.0000     0.0000            0            0         0.00         0.00
Robust Clustered: msetwo epanechnikov p2               0.0000     0.0000     0.0000            0            0         0.00         0.00
Robust Clustered: msesum epanechnikov p2               0.0000     0.0000     0.0000            0            0         0.00         0.00
Robust Clustered: cerrd epanechnikov p2                0.0000     0.0000     0.0000            0            0         0.00         0.00
Robust Clustered: certwo epanechnikov p2               0.0000     0.0000     0.0000            0            0         0.00         0.00
Robust Clustered: cersum epanechnikov p2               0.0000     0.0000     0.0000            0            0         0.00         0.00
========================================================================================================================

====================================================================================================
RDD Results: With Geography and Black Population Controls (Year: 1890)
Includes both linear (p1) and quadratic (p2) polynomial results
Clustered results use clustering by nearest border point
====================================================================================================

Segment                                                 Coeff    Std Err    P-value     Obs Free    Obs Slave      BW Free     BW Slave
------------------------------------------------------------------------------------------------------------------------
Border Point 1                                        -0.3473     0.1497     0.0204          106           66       170.32       170.32
Border Point 2                                        -0.2696     0.0677     0.0001           76           38       122.97       122.97
Border Point 3                                        -0.1424     0.0748     0.0569           22           17        37.12        37.12
Border Point 4                                         0.2040     0.2548     0.4233           55           39       114.51       114.51
Border Point 5                                         0.0783     0.3095     0.8003           30           43       106.05       106.05
Border Point 6                                         0.3522     0.6314     0.5770           14           25        37.85        37.85
Border Point 7                                        -0.5106     0.1436     0.0004           22           33        62.65        62.65
Border Point 8                                        -0.3712     0.1608     0.0210           22           31        56.17        56.17
