year,state,slavery_legal,GISJOIN,farmv,border_county
1850,Ohio,0,G3901590,11.777336323450642,0
1850,Arkansas,1,G0501150,6.3920078385678725,0
1850,Iowa,0,G1901590,NA,1
1850,Missouri,1,G2901790,8.64947343226424,0
1850,Illinois,0,G1700130,4.802589975529955,1
1850,Virginia,1,G5101855,5.053257814138871,1
1850,California,0,G0600170,NA,0
1850,Tennessee,1,G4700690,4.131098223099704,0
1850,Indiana,0,G1801330,12.08524108529298,0
1850,Ohio,0,G3900950,13.649358859828755,0
1850,Kentucky,1,G2102250,5.892554267084846,1
1850,Georgia,1,G1300890,5.047471936716111,0
1850,Tennessee,1,G4700110,6.066181688083241,0
1850,Louisiana,1,G2200130,4.478026876217519,0
1850,Ohio,0,G3900290,21.660895741862095,1
1850,Indiana,0,G1800810,11.670226799632086,0
1850,Kentucky,1,G2102150,16.41514360313316,0
1850,Pennsylvania,0,G4201310,16.10940204757901,0
1850,Ohio,0,G3900550,16.556957827896642,0
1850,Connecticut,0,G0900070,28.161404992614656,0
1850,Missouri,1,G2901890,31.299634433162804,1
1850,Mississippi,1,G2800110,15.371407777084633,0
1850,Oregon Territory,0,G4130095,5.5721393034825875,0
1850,Missouri,1,G2900070,4.083291912234609,0
1850,South Carolina,1,G4500390,8.726579371957387,0
1850,Virginia,1,G5101130,9.41167435407733,0
1850,Virginia,1,G5100890,5.029547699242789,0
1850,Missouri,1,G2900530,6.326858909065365,0
1850,Virginia,1,G5101730,10.56433742650294,0
1850,Pennsylvania,0,G4200370,21.483951464899192,0
1850,Wisconsin,0,G5500250,7.450508199964204,0
1850,Virginia,1,G5100230,8.79317274953415,0
1850,Iowa,0,G1901390,7.388958157369049,0
1850,Tennessee,1,G4700310,4.254942316639461,0
1850,Arkansas,1,G0500750,4.8818485340533835,0
1850,Georgia,1,G1300450,3.11936216161458,0
1850,Arkansas,1,G0500170,9.940914685398655,0
1850,Iowa,0,G1901230,5.83271058076699,0
1850,Alabama,1,G0100890,9.957882227071847,0
1850,Ohio,0,G3901010,12.46011102389329,0
1850,South Carolina,1,G4500630,1.9741117759368898,0
1850,Georgia,1,G1302170,5.573894653785105,0
1850,Illinois,0,G1701170,7.9299019306951735,0
1850,Virginia,1,G5101593,4.592891744429147,0
1850,New York,0,G3600650,23.91080104646817,0
1850,Virginia,1,G5100550,20.622185389041782,0
1850,Missouri,1,G2900750,4.195584677419355,1
1850,North Carolina,1,G3701850,4.506238903311146,0
1850,North Carolina,1,G3701170,3.6322349450969065,0
1850,Ohio,0,G3901150,15.664299955693398,0
1850,Ohio,0,G3901530,23.9239656201201,0
1850,Missouri,1,G2901430,6.346752026721409,0
1850,Illinois,0,G1700670,7.9238323022790516,1
1850,Tennessee,1,G4700370,19.443591252773125,0
1850,Missouri,1,G2900730,4.187650360866079,0
1850,Ohio,0,G3901290,22.467089199818705,0
1850,Kentucky,1,G2100910,7.337878128575803,1
1850,Mississippi,1,G2800230,4.282876869654511,0
1850,New York,0,G3601190,77.61212087532599,0
1850,Illinois,0,G1700590,4.5173237753882916,1
1850,Arkansas,1,G0500730,5.394147938963905,0
1850,Virginia,1,G5101530,8.18197966815073,0
1850,Indiana,0,G1800270,5.483165766458304,0
1850,Virginia,1,G5101835,9.822640121981552,0
1850,Kentucky,1,G2101410,6.808208331500462,0
1850,Missouri,1,G2900810,4.229975262304871,1
1850,Ohio,0,G3900790,8.50535619607654,0
1850,Alabama,1,G0100950,6.689222856224383,0
1850,Georgia,1,G1301630,4.552807628273044,0
1850,South Carolina,1,G4500550,3.8935268193776498,0
1850,Wisconsin,0,G5500770,7.854574121315193,0
1850,Illinois,0,G1701890,4.438441549472085,0
1850,Virginia,1,G5101710,19.315216977902864,0
1850,Georgia,1,G1301530,8.340509311263988,0
1850,Georgia,1,G1302450,7.809529872148811,0
1850,Illinois,0,G1700710,8.945674638323,0
1850,Illinois,0,G1700730,6.480247148691254,0
1850,Tennessee,1,G4701170,10.064186093096627,0
1850,Vermont,0,G5000010,21.749243584059073,0
1850,Mississippi,1,G2800210,7.976248926969762,0
1850,North Carolina,1,G3700290,13.00208026924249,0
