GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,AJR001,AJU001,AJU002,AJU003,AJV001,AJV002
"G0900130","1870","Connecticut","090","Tolland","0130","Tolland","1","130",22000,133856,57471,21733,6308423,246322
"G0900150","1870","Connecticut","090","Windham","0150","Windham","1","150",38518,190649,74094,10399,8193266,293340
"G0950075","1870","Dakota Territory","095","Bon Homme","0075","Bon Homme","37","90",608,946,4396,5135,136200,3700
"G0950135","1870","Dakota Territory","095","Brookings","0135","Brookings","37","110",163,56,634,4750,6800,240
"G0950195","1870","Dakota Territory","095","Buffalo","0195","Buffalo","37","170",246,60,215,400,3400,500
"G0950295","1870","Dakota Territory","095","Charles Mix","0295","Charles Mix","37","230",152,646,942,1602,28050,3575
"G0950355","1870","Dakota Territory","095","Clay","0355","Clay","37","270",2621,12809,3462,68957,603310,40271
"G0950495","1870","Dakota Territory","095","Deuel","0495","Deuel","37","390",37,50,84,1146,1650,160
"G0950815","1870","Dakota Territory","095","Hutchinson","0815","Hutchinson","37","670",37,63,90,1285,7200,800
"G0950855","1870","Dakota Territory","095","Jayne","0855","Jayne","37","715",5,0,0,0,0,0
"G0950975","1870","Dakota Territory","095","Lincoln","0975","Lincoln","37","830",712,3029,225,32684,85100,6740
"G0951195","1870","Dakota Territory","095","Minnehaha","1195","Minnehaha","37","990",355,581,638,13715,20540,2785
"G0951275","1870","Dakota Territory","095","Pembina","1275","Pembina","36","670",1213,304,1204,1682,10600,2300
"G0951655","1870","Dakota Territory","095","Todd","1655","Todd","37","1195",337,0,0,0,0,0
"G0951735","1870","Dakota Territory","095","Union","1735","Union","37","1270",3507,18291,8924,85664,880515,64295
"G0951755","1870","Dakota Territory","095","Unorganized Territory","1755","Unorganized Territory","37","9995",2091,,,,,
"G0951855","1870","Dakota Territory","095","Yankton","1855","Yankton","37","1350",2097,5810,1791,20106,301900,17246
"G1000010","1870","Delaware","100","Kent","0010","Kent","11","10",29804,216958,65138,27477,13167760,348184
"G1000030","1870","Delaware","100","New Castle","0030","New Castle","11","30",63515,203167,30609,15049,24573080,657012
"G1000050","1870","Delaware","100","Sussex","0050","Sussex","11","50",31696,277990,199415,16519,8972032,196448
"G1100010","1870","District Of Columbia","110","District Of Columbia","0010","District Of Columbia","98","10",131700,8266,2428,983,3800230,39450
"G1200010","1870","Florida","120","Alachua","0010","Alachua","43","10",17328,45934,146776,42702,1550079,47408
"G1200030","1870","Florida","120","Baker","0030","Baker","43","30",1325,2579,8453,851,37640,1885
"G1200070","1870","Florida","120","Bradford","0070","Bradford","43","70",3671,12158,33362,12179,133632,7710
"G1200090","1870","Florida","120","Brevard","0090","Brevard","43","90",1216,5385,11555,0,21000,3895
"G1200130","1870","Florida","120","Calhoun","0130","Calhoun","43","130",998,5311,7904,6344,51970,6059
"G1200190","1870","Florida","120","Clay","0190","Clay","43","190",2098,2678,17084,750,70418,1858
"G1200230","1870","Florida","120","Columbia","0230","Columbia","43","230",7335,32002,97685,1440,423945,24663
"G1200250","1870","Florida","120","Dade","0250","Dade","43","250",85,,,,,
"G1200310","1870","Florida","120","Duval","0310","Duval","43","310",11921,7804,87376,1239,647881,13078
"G1200330","1870","Florida","120","Escambia","0330","Escambia","43","330",7817,1077,6236,0,47725,3870
"G1200370","1870","Florida","120","Franklin","0370","Franklin","43","370",1256,237,2736,0,4260,630
"G1200390","1870","Florida","120","Gadsden","0390","Gadsden","43","390",9802,66234,135218,0,601481,45097
"G1200470","1870","Florida","120","Hamilton","0470","Hamilton","43","470",5749,27720,42485,900,256150,845
"G1200530","1870","Florida","120","Hernando","0530","Hernando","43","530",2938,7964,32922,1441,210252,7546
"G1200570","1870","Florida","120","Hillsborough","0570","Hillsborough","43","570",3216,5345,21626,870,151368,3626
"G1200590","1870","Florida","120","Holmes","0590","Holmes","43","590",1572,3986,10168,1479,22158,4487
"G1200630","1870","Florida","120","Jackson","0630","Jackson","43","630",9528,40052,4698,81480,342080,22577
"G1200650","1870","Florida","120","Jefferson","0650","Jefferson","43","650",13398,73113,81634,9136,1044805,42155
"G1200670","1870","Florida","120","Lafayette","0670","Lafayette","43","670",1783,6902,19311,40,66195,4263
"G1200730","1870","Florida","120","Leon","0730","Leon","43","730",15236,87656,81325,1275,1225418,72733
"G1200750","1870","Florida","120","Levy","0750","Levy","43","750",2018,5603,11359,0,81270,3365
"G1200770","1870","Florida","120","Liberty","0770","Liberty","43","770",1050,4976,26845,0,42165,3773
"G1200790","1870","Florida","120","Madison","0790","Madison","43","790",11121,51747,72829,7140,668078,17430
"G1200810","1870","Florida","120","Manatee","0810","Manatee","43","810",1931,2811,3680,1147,36858,1785
"G1200830","1870","Florida","120","Marion","0830","Marion","43","830",10804,139672,175832,5286,828795,87968
"G1200870","1870","Florida","120","Monroe","0870","Monroe","43","870",5657,81,400,0,11100,830
"G1200890","1870","Florida","120","Nassau","0890","Nassau","43","890",4247,4155,39466,1370,132213,3849
"G1200950","1870","Florida","120","Orange","0950","Orange","43","950",2195,4698,22218,35,174900,2618
"G1201050","1870","Florida","120","Polk","1050","Polk","43","1050",3169,15395,28705,0,56600,7587
"G1201070","1870","Florida","120","Putnam","1070","Putnam","43","1070",3821,7530,36364,4084,248286,10668
"G1201090","1870","Florida","120","St Johns","1090","St Johns","43","1090",2618,1977,1802,13936,115705,2261
